Image Name,gbifID,Classification,identifier,Notes
1946467963_3,1946467963,1,https://www.artsobservasjoner.no/MediaLibrary/2018/11/fdc40dba-b814-43b3-b45b-2fd9fd6fd513_image.jpg,"clear, close up"
1957660327_1,1957660327,1,https://observation.org/photos/3611856.jpg,"clear, close up"
3044769794_2,3044769794,1,https://inaturalist-open-data.s3.amazonaws.com/photos/110640893/original.jpg,"clear, close up"
4886893384_1,4886893384,1,https://observation.org/photos/88954286.jpg,"clear, close up"
4156073775_2,4156073775,1,https://observation.org/photos/63710080.jpg,clear flowers
3827262103_1,3827262103,1,https://observation.org/photos/49480590.jpg,occluded petals + noisy
3080037413_2,3080037413,1,https://www.artsobservasjoner.no/MediaLibrary/2021/4/0fb9b7f2-48b8-4bfe-bec6-918dd8bffc27_image.jpg,pretty clear
5108929907_2,5108929907,1,https://observation.org/photos/113765783.jpg,flowers + siliques
3826633088_1,3826633088,1,https://observation.org/photos/48001604.jpg,flowers + siliques
3823780421_2,3823780421,1,https://observation.org/photos/47641390.jpg,barely flowering?
3823097511_2,3823097511,1,https://observation.org/photos/47099093.jpg,noisy + low res + bad lighting
3803477470_4,3803477470,1,https://arter.dk/media/683275b3-1754-49bf-ba10-ae9e010b61be.jpg,flowers + siliques
5108935415_1,5108935415,1,https://observation.org/photos/113706488.jpg,low res
5109963792_1,5109963792,1,https://bs.plantnet.org/image/o/90996ed323ae7a131364a0a183d8e63eb8d4a6cb,cluttered image
4888684340_1,4888684340,1,https://observation.org/photos/88424578.jpg,blurry + bad lighting
4155847935_1,4155847935,1,https://observation.org/photos/66069821.jpg,blurry flower
3773529138_1,3773529138,1,https://inaturalist-open-data.s3.amazonaws.com/photos/196579801/original.jpg,distant flower
3764551065_1,3764551065,1,https://inaturalist-open-data.s3.amazonaws.com/photos/190914025/original.jpeg,distant flower
3759260990_2,3759260990,1,https://inaturalist-open-data.s3.amazonaws.com/photos/186402462/original.jpeg,occluded petals
3824264052_1,3824264052,1,https://observation.org/photos/48718678.jpg,dark lighting
3822692082_1,3822692082,0,https://observation.org/photos/46450066.jpg,clear rosette
5134489816_1,5134489816,0,https://inaturalist-open-data.s3.amazonaws.com/photos/489857535/original.jpeg,clear rosette
5177294582_1,5177294582,0,https://inaturalist-open-data.s3.amazonaws.com/photos/512744278/original.jpg,close up rosette
2557756318_1,2557756318,0,https://inaturalist-open-data.s3.amazonaws.com/photos/59429361/original.jpg,"rosette, white spot might throw off model"
3729542534_1,3729542534,0,https://observation.org/photos/33729091.jpg,bolting
1958488581_1,1958488581,0,https://observation.org/photos/3076446.jpg,bolting
5187884045_3,5187884045,0,https://inaturalist-open-data.s3.amazonaws.com/photos/516747053/original.jpg,only siliques
5198307676_1,5198307676,0,https://inaturalist-open-data.s3.amazonaws.com/photos/518196333/original.jpg,"post-flowering, only siliques"
4129774604_2,4129774604,0,https://inaturalist-open-data.s3.amazonaws.com/photos/278685353/original.jpeg,"only siliques, water drops look like flowers"
4923687541_1,4923687541,0,https://inaturalist-open-data.s3.amazonaws.com/photos/417160795/original.jpg,only siliques
4528034780_3,4528034780,0,https://inaturalist-open-data.s3.amazonaws.com/photos/352932161/original.jpeg,rosette
4535940448_1,4535940448,0,https://inaturalist-open-data.s3.amazonaws.com/photos/354208634/original.jpg,bolting
4597339685_2,4597339685,0,https://inaturalist-open-data.s3.amazonaws.com/photos/356056922/original.jpeg,only siliques
5110459079_1,5110459079,0,https://bs.plantnet.org/image/o/99ef80a97bfda59cdee80a0e128e0dc31804dc84,"noisy, lots of rosettes"
4009903891_2,4009903891,0,https://inaturalist-open-data.s3.amazonaws.com/photos/248798917/original.jpg,lot of bolting plants
4878338893_1,4878338893,0,https://arter.dk/media/273d879d-b79e-4e6a-b0a5-b15f009db6c0.jpg,bottom of plant
4886353030_3,4886353030,0,https://observation.org/photos/86197055.jpg,"noisy, plant not even shown?"
5008372281_3,5008372281,0,https://inaturalist-open-data.s3.amazonaws.com/photos/459134860/original.jpeg,leaf of plant shown
3822704114_1,3822704114,0,https://observation.org/photos/46548414.jpg,rosette
5167462007_3,5167462007,0,https://inaturalist-open-data.s3.amazonaws.com/photos/509871928/original.jpg,blurry + noisy background
