Image Name,gbifID,Classification,identifier,Notes
1703130146_4,1703130146,1,https://inaturalist-open-data.s3.amazonaws.com/photos/7792823/original.jpeg,"Clear, siliques + flowers"
1953237649_1,1953237649,1,https://observation.org/photos/6554424.jpg,Close up
1970560230_3,1970560230,1,https://observation.org/photos/13335253.jpg,"Close up, only silique visible"
2331832544_2,2331832544,1,https://inaturalist-open-data.s3.amazonaws.com/photos/40859894/original.jpg,Only siliques
2465115616_2,2465115616,1,https://inaturalist-open-data.s3.amazonaws.com/photos/47154790/original.jpeg,Only siliques
2833506238_2,2833506238,1,https://observation.org/photos/19410742.jpg,"Close up, only silique visible"
2864770957_1,2864770957,1,https://inaturalist-open-data.s3.amazonaws.com/photos/95608327/original.jpg,Early silique development
2814061333_3,2814061333,1,https://inaturalist-open-data.s3.amazonaws.com/photos/81787602/original.jpeg,Siliques + flowers
2835006723_3,2835006723,1,https://observation.org/photos/25319874.jpg,"Close up, siliques + flowers"
3784860552_5,3784860552,1,https://inaturalist-open-data.s3.amazonaws.com/photos/197208010/original.jpg,"Clear, siliques + flowers"
3726853333_1,3726853333,1,https://observation.org/photos/26577666.jpg,Very late repoductive stage
3826882110_1,3826882110,1,https://observation.org/photos/47428674.jpg,Silique hard to see and distant
3719823227_1,3719823227,1,https://observation.org/photos/34782525.jpg,Distant
2841362097_2,2841362097,1,https://observation.org/photos/20427153.jpg,Distant
2837609030_1,2837609030,1,https://observation.org/photos/20368562.jpg,Blurry + distant
5187884045_4,5187884045,1,https://inaturalist-open-data.s3.amazonaws.com/photos/516747058/original.jpg,Siliques kind of occluded + flowers visible
5109963792_1,5109963792,1,https://bs.plantnet.org/image/o/90996ed323ae7a131364a0a183d8e63eb8d4a6cb,Cluttered + flowers visible
3824264052_1,3824264052,1,https://observation.org/photos/48718678.jpg,Dark lighting
4888684340_1,4888684340,1,https://observation.org/photos/88424578.jpg,Blurry
5167462007_3,5167462007,1,https://inaturalist-open-data.s3.amazonaws.com/photos/509871928/original.jpg,Very blurry + noisy background
3730310832_2,3730310832,1,https://observation.org/photos/34632033.jpg,"Close up, early silique development"
3720553331_1,3720553331,1,https://observation.org/photos/34432190.jpg,Very small/early silique development
4080445208_4,4080445208,1,https://inaturalist-open-data.s3.amazonaws.com/photos/265990860/original.jpg,"Early/small silique, blurry"
4934026877_1,4934026877,1,https://observation.org/photos/100351388.jpg,Close up
