Image #,gbifID,Classification,identifier
152,694438987,FL,http://mediaphoto.mnhn.fr/media/1441423802007hgFxhGxpMcwL6gH8
1257,5153128482,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/497478841/original.jpg
1611,5140505920,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/492527450/original.jpg
1775,5139162633,FL,https://observation.org/photos/115285763.jpg
711,5167462007,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/509871889/original.jpg
778,5166763693,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/492597554/original.jpeg
1053,5154342820,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/495584600/original.jpeg
1271,5153069140,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/498033874/original.jpg
1837,5139075157,FL,https://observation.org/photos/115244055.jpg
1966,5138863385,FL,https://observation.org/photos/114653062.jpg
2244,5134387164,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/488866808/original.jpg
2461,5133418841,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/485954463/original.jpeg
2796,5110389351,FL,https://bs.plantnet.org/image/o/85a1c74f8ba6d4cab9aaf111838e13d4031d56ae
2835,5110034253,FL,https://bs.plantnet.org/image/o/f312af9e96f05ebb77b7d14eb8ccbc0871edf1fd
2846,5109987445,FL,https://bs.plantnet.org/image/o/3750d254626db02296de4d919eb4a6090e5b52ff
2474,5133318287,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/485590771/original.jpeg
1342,5141814901,FL,https://observation.org/photos/115996034.jpg
1171,5153660509,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/499423588/original.jpg
2146,5134620283,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/489670536/original.jpeg
362,5198351826,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/519505022/original.jpg
4706,5013403479,FL,https://live.staticflickr.com/950/41869691411_b8dcba58e0_b.jpg
23766,1977723130,FL,https://observation.org/photos/8163061.jpg
17507,3764468674,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/190163989/original.jpeg
16503,3824264052,FL,https://observation.org/photos/48718678.jpg
15363,3997723352,FL,https://observation.org/photos/60997303.jpg
13630,4080906336,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/266346987/original.jpeg
13304,4096548098,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/269561565/original.jpeg
12158,4129905575,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/271715310/original.jpeg
9014,4177002386,FL,https://inaturalist-open-data.s3.amazonaws.com/photos/121986234/original.jpeg
8493,4523587522,FL,https://www.artsobservasjoner.no/MediaLibrary/2024/2/a09790c6-6f96-4990-99a8-86ed66647dff_image.jpg
5342,4923687541,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/417160800/original.jpg
15328,4009903891,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/248798898/original.jpg
22898,2557756318,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/59429361/original.jpg
23318,2446339252,Non-FL,https://data.nhm.ac.uk/media/b5c68aeb-c765-4b73-af67-62d1524d2e10
16422,3825517896,Non-FL,https://observation.org/photos/46457748.jpg
12267,4129774604,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/278685305/original.jpeg
21942,2834986048,Non-FL,https://observation.org/photos/25463627.jpg
21824,2836554817,Non-FL,https://observation.org/photos/24710809.jpg
18266,3729542534,Non-FL,https://observation.org/photos/33729091.jpg
18184,3730016244,Non-FL,https://observation.org/photos/34417644.jpg
487,5176643057,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/511840682/original.jpg
1318,5141961387,Non-FL,https://observation.org/photos/116268040.jpg
363,5198307676,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/518196333/original.jpg
986,5154615933,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/497999108/original.jpeg
2923,5109469321,Non-FL,https://bs.plantnet.org/image/o/9b9aa5f923431eef4efa7e9c2a07d328dd4401ff
2810,5110328174,Non-FL,https://bs.plantnet.org/image/o/cea4294cad2ce7d8e29a5936b2ec117bd01cbfa8
2839,5109997692,Non-FL,https://bs.plantnet.org/image/o/c0e8b7d0af9692081794ddd4ac0f2a0a3de248b2
2791,5110459079,Non-FL,https://bs.plantnet.org/image/o/99ef80a97bfda59cdee80a0e128e0dc31804dc84
181,694434760,Non-FL,https://mediaphoto.mnhn.fr/media/144141946511217B1pBDpJJMBxhQe
388,5187884045,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/516747053/original.jpg
2620,5132057303,Non-FL,https://observation.org/photos/114204781.jpg
2397,5133732543,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/475337327/original.jpg
2219,5134489816,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/489857535/original.jpeg
2011,5135972810,Non-FL,https://arter.dk/media/59d52d7a-06f4-4af3-89b6-b2cd00cfe7f8.jpg
384,5188022561,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/518941146/original.jpg
1224,5153327252,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/501444813/original.jpeg
1679,5140220451,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/491116787/original.jpeg
502,5176488540,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/514043718/original.jpg
445,5177294582,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/512744278/original.jpg
1074,5154154542,Non-FL,https://inaturalist-open-data.s3.amazonaws.com/photos/515255376/original.jpg

