gbifID,type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder,Image #
5207991878,StillImage,,https://arter.dk/media/375b3c72-92a5-478d-bdb5-b2ff01283ed7.jpg,,,,,,,,,,http://creativecommons.org/licenses/by/4.0/,,348
5207991878,StillImage,,https://arter.dk/media/af7079a1-4901-41a1-8d3c-b2ff012839f7.jpg,,,,,,,,,,http://creativecommons.org/licenses/by/4.0/,,349
5207991878,StillImage,,https://arter.dk/media/b3955188-1421-4b5e-871e-b2ff0128465b.jpg,,,,,,,,,,http://creativecommons.org/licenses/by/4.0/,,350
5205328601,StillImage,image/jpeg,https://observation.org/photos/123654787.jpg,,,,,,,Anna,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Anna,351
5205255509,StillImage,image/jpeg,https://observation.org/photos/123909599.jpg,,,,,,,Floris,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Floris,352
5204965368,StillImage,image/jpeg,https://observation.org/photos/124710415.jpg,,,,,,,Tim Duchatteau,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Tim Duchatteau,353
5198838909,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/519684858/original.jpg,https://www.inaturalist.org/photos/519684858,,,,,2025-06-12T18:00:44Z,flemming_rene,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,flemming_rene,354
5198622241,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/520800799/original.jpg,https://www.inaturalist.org/photos/520800799,,,,,2025-06-14T14:59:34Z,Morten Christensen,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Morten Christensen,355
5198501464,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/479307547/original.jpeg,https://www.inaturalist.org/photos/479307547,,,,,2025-03-24T19:27:05Z,Bart Wursten,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Bart Wursten,356
5198501464,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/479307591/original.jpeg,https://www.inaturalist.org/photos/479307591,,,,,2025-03-24T19:26:53Z,Bart Wursten,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Bart Wursten,357
5198501464,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/479307567/original.jpeg,https://www.inaturalist.org/photos/479307567,,,,,2025-03-24T19:27:00Z,Bart Wursten,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Bart Wursten,358
5198355813,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/519484796/original.jpg,https://www.inaturalist.org/photos/519484796,,,,,2025-05-31T14:02:47Z,giacomorossetti,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,giacomorossetti,359
5198351826,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/519504944/original.jpg,https://www.inaturalist.org/photos/519504944,,,,,2025-06-11T18:33:02Z,Adrian Kreft,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Adrian Kreft,360
5198351826,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/519504973/original.jpg,https://www.inaturalist.org/photos/519504973,,,,,2025-06-11T18:33:05Z,Adrian Kreft,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Adrian Kreft,361
5198351826,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/519505022/original.jpg,https://www.inaturalist.org/photos/519505022,,,,,2025-06-11T18:33:07Z,Adrian Kreft,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Adrian Kreft,362
5198307676,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/518196333/original.jpg,https://www.inaturalist.org/photos/518196333,,,,,2025-06-06T22:32:51Z,Alexander Baransky,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexander Baransky,363
5198307676,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/518196341/original.jpg,https://www.inaturalist.org/photos/518196341,,,,,2025-06-06T22:32:56Z,Alexander Baransky,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Alexander Baransky,364
5198012694,StillImage,image/jpeg,https://observation.org/photos/123366528.jpg,,,,,,,Gertjan van Noord,,,http://creativecommons.org/licenses/by-nd/4.0/,Gertjan van Noord,365
5198012694,StillImage,image/jpeg,https://observation.org/photos/123366529.jpg,,,,,,,Gertjan van Noord,,,http://creativecommons.org/licenses/by-nd/4.0/,Gertjan van Noord,366
5198012694,StillImage,image/jpeg,https://observation.org/photos/123366527.jpg,,,,,,,Gertjan van Noord,,,http://creativecommons.org/licenses/by-nd/4.0/,Gertjan van Noord,367
5198012694,StillImage,image/jpeg,https://observation.org/photos/123366525.jpg,,,,,,,Gertjan van Noord,,,http://creativecommons.org/licenses/by-nd/4.0/,Gertjan van Noord,368
5198012694,StillImage,image/jpeg,https://observation.org/photos/123366526.jpg,,,,,,,Gertjan van Noord,,,http://creativecommons.org/licenses/by-nd/4.0/,Gertjan van Noord,369
5197956927,StillImage,image/jpeg,https://observation.org/photos/122937864.jpg,,,,,,,Wout,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Wout,370
5197940216,StillImage,image/jpeg,https://observation.org/photos/123384676.jpg,,,,,,,Hendrik Groenwold,,,http://creativecommons.org/licenses/by-nc-nd/4.0/,Hendrik Groenwold,371
